cycle,actual_acc,actual_valid
0,0,1
1,50,1
2,0,1
3,-50,1
4,0,1
5,16129,1
6,32513,1
7,16257,1
8,1,1
9,1,0
10,1,0
11,0,0
12,28,1
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,2604,1
19,6924,1
20,6924,0
21,7496,1
22,7496,0
23,7496,0
24,7496,0
25,7496,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,3388,1
37,3388,0
38,3388,0
39,3388,0
40,3388,0
41,3388,0
42,12108,1
43,12108,0
44,12108,0
45,14730,1
46,14730,0
47,13545,1
48,13545,0
49,13545,0
50,13545,0
51,13545,0
52,21145,1
53,21145,0
54,21145,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,-2597,1
70,1626,1
71,1626,0
72,1626,0
73,1626,0
74,1626,0
75,1626,0
76,0,0
77,-816,1
78,164,1
79,164,0
80,164,0
81,164,0
82,-1068,1
83,-1068,0
84,-1068,0
85,-1068,0
86,-1068,0
87,-813,1
88,-469,1
89,-469,0
90,-469,0
91,5608,1
92,-6020,1
93,-6020,0
94,-6020,0
95,-6020,0
96,-6020,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,1
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,1740,1
117,1740,0
118,1740,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,-1840,1
126,-1840,0
127,-1840,0
128,-2932,1
129,-2932,0
130,-2932,0
131,-2932,0
132,-2932,0
133,-2932,0
134,-2932,0
135,10976,1
136,10976,0
137,10976,0
138,-2168,1
139,-2168,0
140,-2168,0
141,-3793,1
142,-3793,0
143,-3793,0
144,-3793,0
145,-3793,0
146,163,1
147,163,0
148,5245,1
149,5245,0
150,5245,0
151,5245,0
152,5245,0
153,5245,0
154,5245,0
155,5245,0
156,5245,0
157,5245,0
158,5245,0
159,5245,0
160,5245,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,33,1
167,33,0
168,33,0
169,253,1
170,253,0
171,253,0
172,253,0
173,253,0
174,253,0
175,253,0
176,253,0
177,253,0
178,253,0
179,253,0
180,-671,1
181,-671,0
182,1837,1
183,1837,0
184,1837,0
185,1837,0
186,1837,0
187,-9491,1
188,-9491,0
189,-9491,0
190,-7827,1
191,-7827,0
192,-7827,0
193,0,0
194,0,0
195,2666,1
196,-1014,1
197,-1014,0
198,-1014,0
199,-1014,0
200,-1014,0
201,-1014,0
202,-1014,0
203,274,1
204,274,0
205,274,0
206,274,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,5621,1
220,5621,0
221,5621,0
222,5621,0
223,0,0
224,-12078,1
225,-12078,0
226,-12078,0
227,-12078,0
228,-12078,0
229,-12078,0
230,-12078,0
231,-22370,1
232,-22370,0
233,-22370,0
234,-22370,0
235,-19250,1
236,-19250,0
237,-19250,0
238,-19250,0
239,-17578,1
240,-17578,0
241,-17578,0
242,-11665,1
243,-11665,0
244,-11665,0
245,-11665,0
246,-11665,0
247,-11665,0
248,-11665,0
249,-11665,0
250,-11665,0
251,-9481,1
252,-8956,1
253,-8956,0
254,-8956,0
255,0,0
256,-410,1
257,-410,0
258,0,0
259,0,0
260,5035,1
261,5035,0
262,10219,1
263,10219,0
264,10219,0
265,10219,0
266,10219,0
267,10219,0
268,10219,0
269,8517,1
270,8517,0
271,12642,1
272,12642,0
273,12642,0
274,12654,1
275,12654,0
276,7782,1
277,7782,0
278,7782,0
279,15132,1
280,15132,0
281,15132,0
282,15132,0
283,15132,0
284,15132,0
285,15306,1
286,15306,0
287,15306,0
288,17406,1
289,17087,1
290,17087,0
291,24857,1
292,0,0
293,-3686,1
294,-3836,1
295,-3836,0
296,-3836,0
297,-3836,0
298,-3836,0
299,-3836,0
300,-3836,0
301,-3836,0
302,-3836,0
303,-4181,1
304,-1857,1
305,-1857,0
306,-1857,0
307,-251,1
308,7253,1
309,6965,1
310,6965,0
311,6965,0
312,7445,1
313,7445,0
314,7565,1
315,7565,0
316,7565,0
317,7565,0
318,7565,0
319,10877,1
320,10877,0
321,10877,0
322,9632,1
323,9172,1
324,9172,0
325,9172,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,-810,1
336,-810,0
337,-810,0
338,-938,1
339,-938,1
340,-6230,1
341,-6230,0
342,-6230,0
343,-7046,1
344,-1961,1
345,4639,1
346,4639,0
347,4639,0
348,4639,0
349,4639,0
350,4639,0
351,4639,0
352,4639,0
353,4639,0
354,4639,0
355,4639,0
356,5638,1
357,5638,0
358,5638,0
359,-1572,1
360,-1572,0
361,-1572,0
362,-6672,1
363,-6672,0
364,-6672,0
365,-6672,0
366,-5319,1
367,-8007,1
368,-13012,1
369,-19564,1
370,-19564,0
371,-19564,0
372,-20694,1
373,-29746,1
374,-30978,1
375,-30978,0
376,-30978,0
377,-30978,0
378,-32223,1
379,-32223,0
380,-32223,0
381,-32223,0
382,-32223,0
383,0,0
384,0,0
385,-6105,1
386,-6105,0
387,623,1
388,623,0
389,623,0
390,623,0
391,7103,1
392,7103,0
393,6564,1
394,6564,0
395,7292,1
